	ID	NARRATIVE	HERO	VILLAIN	VICTIM	FOCUS	CONFLICT	STORY	ARTICLE	outlet	leaning	CO	RE	HI	EC	MO
0	0	DEBATE_AND_SCAM	NONE	GOVERNMENTS_POLITICIANS_POLIT.ORGS	GENERAL_PUBLIC	VILLAIN	PREVENT_RESOLUTION	INDIVIDUALISTIC	"Climate Alarmists Want to Rebrand "" Climate Change "" to Something More Panic Inducing First , it was "" global warming "" and/or "" global cooling . "" Then when they figured out that they could n't accurately predict which way it was going to go , they settled on "" climate change . "" Apparently , that phrase just does n't have the oomph it once did , and the church of climate change wants to rebrand their apocalypse to make people far more scared and subsequently , obedient . An article by Aaron Hall in AdAge asked the question of whether or not people will be more apt to fall in line with the climate alarmists if they take out the neutral - sounding "" climate change "" and replace it with something you might hear Chicken Little screaming : Scientific terms often fail to resonate in meaningful ways . In the early 1900s , for example , no one had heard of the "" hypothesis of the primeval atom . "" That changed in the 1940s when the term "" Big Bang "" was coined , which was a simpler , more relatable concept for the masses . This complex scientific concept is extremely well - known today because a better , more tangible term was applied to it . Can we use lessons from the naming of the Big Bang to rebrand "" climate change ? "" Interestingly , Hall notes that politicians liked "" global warming "" because it sounded dynamic and scary , but since it was "" too easy to poke holes in "" they decided to move on to climate change . People began joking about wanting global warming whenever it got too cold outside and the politicians , much like the devil himself , ca n't stand it when people laugh at them . Hall , being a "" professional namer , "" wondered allowed about whether or not people would take the church of climate change more seriously if he renamed it to sound scarier . He said that the new name needs to appeal to people who are unscientific to help them understand the severity of the problem and "" inspire them to make more eco - friendly life choices and pro - climate choices at the ballot box . "" In other words , it needs to scare people into voting Democrat . What did his team of global namers come up with ? A bunch of names that sound like bad B - Movie titles . These options are subtle brand shifts from "" global warming , "" yet they deliver a more negative image . The names signal that ice caps are melting , but also create a more visceral image in the mind — that real feeling of "" melting "" when it 's too hot outside . A meltdown is a disastrous event that draws from the ultimate terror of a nuclear meltdown , an apt metaphor for global destruction . In naming , we call metaphorical names "" suggestive names , "" and they are one of the most popular types of names . Good brand names instill a clear message or even a direct call to action . Perhaps that 's why climate change is n't powerful enough : "" Change "" sounds so neutral . However , there 's nothing neutral about collapse or chaos . Both are states of events that you absolutely want to avoid . They ask each of us to do what it takes to avoid collapsing or descending into chaos . They both also use alliteration — using the same letter or sound at the beginning of connected words — a naming trick proven to enhance memorability . Arresting brand names often capitalize on vivid visual associations . They refer to a tipping point that we 're catapulting toward and must find a way to avert . Because a boiling point is the point at which liquid vaporizes , it brings forth imagery of rivers , lakes and oceans boiling and disappearing . "" Melting Point "" paints a clear picture of solid matter melting . As glaciers melt and disappear , so does our way of life . It 's time to take the gloves off and stop pretending . Sometimes a brand name needs to be hyperbolic to truly capture hearts and minds . If we do n't take massive action now , Earth will be uninhabitable — an irreversible barren wasteland . Plants and animals will die . Humans wo n't be able to survive extreme weather like floods , droughts and fires . If we do n't change , we wo n't even be able to spend time outside . "" Scorched Earth "" paints the direst picture of what 's to come and what we must avoid and is likely the edgiest brand name from our exploration . Those were just the winners . Hall gives an honorable mention to these as well : Emission Critical : Focuses on the action we need to take : reducing emissions . Pre - Extinction : Powerful and suggests another mass extinction is imminent if we do not change our ways today . The Great Collapse : The collapse of ecosystems , economies and our way of life . Earthshattering : Creatively arresting — the complete destruction of the Earth as we know it . What 's the takeaway from all this ? Not that climate change is going to end the world . It 's not . No real scientific data points to that fact . The takeaway here is that there are actually people out there trying to worry you into obedience and support for a leftist agenda , and in order to do that they 're willing to play with your brain by changing up the words they use . As you see above , Hall even admits that they 're willing to get hyperbolic in order to make you scared ."	redstate	right_bias	True	False	False	False	True
1	883	NO_NEED_TO_ACT	GOVERNMENTS_POLITICIANS_POLIT.ORGS	GOVERNMENTS_POLITICIANS_POLIT.ORGS	GENERAL_PUBLIC	HERO	FUEL_CONFLICT	INDIVIDUALISTIC	"Delingpole : Aussie ex - PM Abbott Slams Climate Change ' Religion ' Some of us knew this already . But you rarely hear it so trenchantly expressed by a former world leader – as it was in London yesterday by Aussie ex - Prime Minister Tony Abbott in a hard - hitting , must - read speech for the Global Warming Policy Foundation . Abbott is one of only a handful of world leaders to have spoken out against the global warming "" consensus . "" ( The only other ones , recently , are former Czech president Václav Klaus and , of course , President Donald Trump ) . This gives you an idea of just how badly infected are the nations of the free world by the green virus . Even those politicians who might nurture doubts in private almost never express them in public . Abbott himself lost his job as Australia 's prime minister at least in part because he was found guilty of wrongthink on climate change , which he once famously described as "" crap "" . The man who replaced him as prime minister , Malcolm Turnbull – unfondly known as the "" Honourable Member for Goldman Sachs "" – is himself a leading tentacle of the Green Blob . Abbott 's speech – which is causing Australia 's notoriously left - wing media to explode like ripe watermelons struck by hollow - point bullets – ought to serve as a painful reminder to Australia 's Liberal party of the talent they lost when they decided to knife this Jesuit - trained , Oxford - educated , rock - solid , family man conservative in the back and replace him with the slippery Davos - style globalist Turnbull . Here are some of the highlights : Climate change is a product of ignorance and an anti - Christian society . If science was all about "" consensus "" we 'd still be living in caves . Greens want to make life nasty , brutish and short . Where 's the evidence for climate catastrophe ? There 's NONE in Australia , that 's for sure ... Contrary to the breathless assertions that climate change is behind every weather event , in Australia , the floods are not bigger , the bushfires are not worse , the droughts are not deeper or longer , and the cyclones are not more severe than they were in the 1800s . Sometimes , they do more damage but that 's because there 's more to destroy , not because their intensity has increased . More than 100 years of photography at Manly Beach in my electorate does not suggest that sea levels have risen despite frequent reports from climate alarmists that this is imminent .... But there 's plenty of evidence that green lunacy is killing the Australian economy . Renewables have more to do with virtue - signalling than with useful energy . There 's a reason renewable energy is crap and it 's so simple even lefties and greens should be able to understand it . Hydro aside , renewable energy should properly be referred to as intermittent and unreliable power . When the wind does n't blow and the sun does n't shine , the power does n't flow . Wind and solar power are like sailing ships ; cheaper than powered boats , to be sure , but we 've stopped using sail for transport because it could n't be trusted to turn up on time . Because the weather is unpredictable , you never really know when renewable power is going to work . Its marginal cost is low but so is its reliability , so in the absence of industrial scale batteries , it always needs matching capacity from dependable coal , gas , hydro , or nuclear energy . This should always have been obvious . We think we 're rational but where green policy is concerned we 're little better than the Aztecs . Oh and by the way , the way we 're carrying on Western Civilization is on its way out ..."	Breitbart	questionable_source	True	False	False	True	True
2	32	ALL_GOING_TO_DIE	NONE	CLIMATE_CHANGE	GENERAL_PUBLIC	VICTIM	PREVENT_CONFLICT	EGALITARIAN	"Italy declares state of emergency in Venice after flood ... Much of Venice was left under water this week after the highest tide in 50 years ripped through the historic Italian city ( AFP Photo / Filippo MONTEFORTE ) Venice ( AFP ) - Italy on Thursday declared a state of emergency for Venice after an exceptional tide surged through churches , shops and homes , causing millions of euros worth of damage to the UNESCO city . Prime Minister Giuseppe Conte said the cabinet had approved the state of emergency and ordered the immediate release of 20 million euros ( $ 22 million ) in funds for "" the most urgent interventions "" in the devastated city after Tuesday 's flooding . Despite the emergency , tourists larked around in the flooded St Mark 's Square in the sunshine , snapping selfies in their neon plastic boots and taking advantage of a respite in bad weather which has driven the high tides . Sirens warning of fresh flooding rang through the canal city early Thursday but the water level remained low compared to Tuesday 's tide , the highest in 50 years . Conte , who has called the flooding "" a blow to the heart of our country "" , met Venice 's mayor and emergency services before jumping in a speed boat to visit businesses and locals affected by the tide . Residents whose houses had been hit would immediately get up to 5,000 euros in government aid , while restaurant and shop owners could receive up to 20,000 euros and apply for more later , he said . Several museums remained closed to the public on Thursday . As authorities assessed the extent of the damage to Venice 's cultural treasures , such as St Mark 's Basilica where water invaded the crypt , locals were defiant . Many stopped for their habitual coffees at flooded bars , drinking their espresso while standing in several inches of water . Austrian tourist Cornelia Litschauer , 28 , said she felt mixed emotions seeing Venice 's famous square half submerged . "" For the tourists it 's amazing , it 's something to see . But for the people who live here it 's a real problem , "" Litschauer said , cradling her white Chihuahua Pablo . "" It 's strange . Tourists are taking pictures but the city is suffering . "" The Locanda Al Leon hotel said its bookings had suffered from the international media coverage of the flood , with some guests cancelling their rooms after seeing images of Venice underwater . Under the arches of the Ducal Palace , a couple from Hong Kong posed for photos in the chilly morning sun . "" This ( trip ) was planned a long time ago so we could n't change it , "" groom Jay Wong , 34 , said . "" Actually this is a good experience . It 's an adventure . "" Tuesday 's "" acqua alta , "" or high waters , submerged around 80 percent of the city , officials said . Only once since records began in 1923 has the water crept even higher , reaching 1.94 metres in 1966 . Former Prime Minister Silvio Berlusconi arrived for a private tour of the damage sustained to the basilica , while rival leader of the Italian right Matteo Salvini was due to drop by for the same on Friday . French tourist Manon Gaudre , 22 , said seeing Venice submerged was a "" unique experience "" . "" The damage it 's causing to monuments and the people is worrying , "" she said , wondering if climate change was to blame . Many , including Venice 's mayor , have blamed the disaster on global warming and warned that Italy -- a country prone to natural disasters -- must wake up to the risks posed by ever more volatile seasons . "" We need to be resilient and adapt . We need a policy that looks at the climate through completely different eyes , "" Environment Minister Sergio Costa said Thursday . Mayor Luigi Brugnaro has estimated the damage to Venice at hundreds of millions of euros . The Serenissima , as the floating city is called , is home to a mere 50,000 residents but receives 36 million global visitors each year . A massive infrastructure project called MOSE has been under way since 2003 to protect the city , but it has been plagued by cost overruns , corruption scandals and delays . "" This engineering solution that will end up costing nearly six billion euros has got to work , "" Transport Minister Paola De Micheli said . The plan involves 78 gates that can be raised to protect Venice 's lagoon during high tides -- but a recent attempt to test part of it caused worrying vibrations and engineers discovered it had rusted ."	drudgereport	right_bias	False	True	True	True	False
3	84	YOURE_DESTROYING_OUR_FUTURE	ENV.ORGS_ACTIVISTS	GOVERNMENTS_POLITICIANS_POLIT.ORGS	GENERAL_PUBLIC	HERO	FUEL_RESOLUTION	EGALITARIAN	"The kids suing the government over climate change want to halt fossil fuel extraction The attorneys representing young people who are suing the federal government in a major climate change lawsuit recently took the unusual step of filing an injunction to stop all new leases for fossil fuel production . If the injunction is granted , it would lead to a nationwide moratorium on new fossil fuel permitting and leasing on federal lands and waters until the lawsuit is resolved . No small matter . However , existing mining and drilling projects would still proceed . The Juliana v. United States lawsuit , filed by 21 young plaintiffs , is currently going through pre - trial appeals at the Ninth Circuit Court of Appeals . The suit alleges that not only did the federal government fail to act to limit climate change , it profited off of selling coal , oil , and gas rights . The government encouraged mining and drilling while knowing full well the hazards caused by burning these fuels , namely climate change . In so doing , the government has deprived the plaintiffs — the youngest is 11 years old — the right to a safe and stable climate system . The lawsuit was first filed in 2015 but has proceeded in starts and stops . At one point , the Supreme Court stepped in to pause the case days before the trial before allowing it to go ahead . An appeals court has now stepped in to consider the government 's motion to dismiss the case . Then on February 7 , the plaintiffs filed their injunction against new fossil fuel extraction on government territory . Philip Gregory , one of the lead attorneys representing the children filing suit , explained that the injunction request is meant to address the urgency of limiting climate change by reducing emissions from fossil fuels immediately . With the case currently tied up in appeals , the plaintiffs wanted to make sure the current state of affairs with respect to climate change does n't get worse as the wheels of justice slowly turn . "" We would have preferred to go to trial , submit our extensive evidence , and have the judge require the defendants to come up with a plan , a national climate recovery plan , for how they 're going to go about doing this , "" Gregory said . As Gregory and the other attorneys for the children wrote in their injunction request , "" This injunction is urgently needed because , despite long - standing knowledge of the resulting destruction to our Nation and the profound harm to these young Plaintiffs , Defendants ' ongoing development of the fossil fuel - based energy system is actively harming Plaintiffs and jeopardizing Plaintiffs ' ability to obtain the full remedy in their case . "" Numerous experts including retired Navy Vice Admiral Lee Gunn , economist Joseph Stiglitz , and climate scientist Eric Rignot have also filed amicus briefs supporting the injunction against new federal fossil fuel development . In response , the federal government argued this week that the injunction maneuver is a ploy to bypass proper legal proceedings . "" Indeed , Plaintiffs by their present motion are essentially making a bid in this Court for a substitute mini - trial or ' trial lite ' — which is premature until the pure issues of law now being briefed in this interlocutory appeal are appropriately resolved as a threshold matter , "" wrote attorneys for the US Department of Justice . They described the injunction request as an "" ambitious attempt to throttle important government functions superintending broad swaths of the national economy . "" The government also noted that the Juliana lawsuit was filed more than three years ago but the plaintiffs had n't asked to block fossil fuel leasing until now , which undermines the plaintiffs ' argument that without immediate action , they would suffer irreparable harm . However , Gregory noted that the government did n't object to any of the evidence presented in the plaintiff 's injunction request , nor did it present any new evidence for its request to deny the request . "" Because there is no contrary evidence , then we are very optimistic that this injunction will go through , "" Gregory said . The Juliana v. United States is just one of more than a dozen climate change lawsuits underway in the US right now . Besides suing the government , several counties and cities are seeking damages from coal , oil , and gas companies for contributing to climate change , which in turn is posing a public nuisance to these jurisdictions . Legal experts say that these lawsuits are long shots and they 're testing the limits of what existing jurisprudence covers . But if they succeed , they could set critical precedents , lead to billion - dollar payouts , and radically reshape the effort to limit global warming ."	vox	left_bias	True	False	False	False	False
4	136	12_YEARS	NONE	GOVERNMENTS_POLITICIANS_POLIT.ORGS	ANIMALS_NATURE_ENVIRONMENT	VILLAIN	PREVENT_CONFLICT	HIERARCHICAL	"Trump 's Environmental Protection Agency chief says climate is not a top priority ( Reuters ) – The U.S. Environmental Protection Agency will unveil a proposal to speed state - level permitting decisions for energy infrastructure projects soon , the agency 's chief told Reuters on Thursday , blasting states that have blocked coal terminals and gas pipelines on environmental grounds . President Donald Trump is seeking to boost domestic fossil fuels production over the objections of Democrats and environmentalists concerned about pollution and climate change . On Wednesday he issued a pair of executive orders targeting the power of states to delay energy projects . "" We started working on it in advance , so we hope to have something out soon , "" EPA Administrator Andrew Wheeler said in an interview . He was unable to provide a precise timeline . Based on Trump 's orders , Wheeler 's EPA has been tasked with clarifying a section of the U.S. Clean Water Act that has allowed states like New York and Washington to delay projects in recent years . New York has used the section to delay pipelines that would bring natural gas to New England , for example , and Washington state has stopped coal export terminals that would open the Asian market for struggling coal companies in Wyoming and other landlocked western states . "" They are trying to make international environmental policy , "" Wheeler said of Washington state , whose governor , Democrat Jay Inslee , is running for president on a climate change - focused platform . "" They 're trying to dictate to the world how much coal is used . "" Wheeler said New York , which amid strong public pressure denied a clean water act permit for construction of a natural gas pipeline to New England , is forcing that region "" to use Russian - produced natural gas . "" We are importing Russian natural gas which is not produced in an environmentally conscious manner . If the states that are blocking the pipelines were truly concerned about the environment , they would look to where the natural gas would be coming from ... I think it 's very short - sighted , "" he said . Wheeler said the EPA would not prevent a state from vetoing a project , but would clarify the parameters they should be able to consider , and the length of time they have to do so . He also said that California is playing politics in its fight with the EPA to preserve its more stringent vehicle emission standards as the national standard . Wheeler said he believes climate change is a problem , but that it had been overblown by former President Barack Obama 's administration – at the expense of other bigger issues like water quality . "" Yes , climate is an issue and we are working to address it , but I think water is a bigger issue , "" he said . Wheeler dismissed the findings of a report released earlier this week by EPA scientists in the journal Nature Climate Change that detailed the scale and urgency of climate change . He said while he encouraged EPA scientists to carry out and publish research , he stressed the recent paper "" did not reflect EPA policy . "" Environmental groups say the EPA 's replacement of an Obama - era rule limiting carbon emissions from power plants would likely lead to increased emissions by allowing older , more polluting coal plants to operate longer . Asked whether the replacement – the Affordable Clean Energy rule , which gives states responsibility for regulating emissions – is stringent enough , Wheeler said it adheres to the parameters of federal law . "" think what is effective regulation is one that follows the law and one that will be held up in court , "" he said . Several Democrats challenging Trump in the 2020 election have made climate change a top - tier issue , embracing aggressive policy platforms like the Green New Deal calling for an end of fossil fuels use . Asked whether he was concerned that the EPA may be out of synch with polls showing an overwhelming number of young people believe climate change should be a priority issue , Wheeler was dismissive . "" do fear that because so many people only talked about climate change . You 're right , there could very well be a new generation coming up saying that 's the only environmental issue – and it 's not , "" he said ."	politicususa	left_bias	True	False	False	False	False
5	141	12_YEARS	NONE	GOVERNMENTS_POLITICIANS_POLIT.ORGS	ANIMALS_NATURE_ENVIRONMENT	VILLAIN	PREVENT_CONFLICT	HIERARCHICAL	"William Happer , Lover Of Carbon Dioxide , To Exit Trump Administration William Happer , the White House 's most veteran climate change denier who tried unsuccessfully to establish an ad hoc panel to challenge near - universally accepted climate science , is leaving the Trump administration , according to reports from E&E News and Bloomberg . A retired Princeton physics professor with no expertise in climatology , Happer has served as President Donald Trump 's deputy assistant for emerging technologies on the National Security Council since September 2018 . He has long argued that the planet and humans benefit from increased carbon dioxide emissions . He has called climate science a "" cult , "" claimed Earth is in the midst of a "" CO2 famine , "" and said the "" demonization of carbon dioxide is just like the demonization of the poor Jews under Hitler . "" Earlier this year , Trump tapped Happer to lead a panel of fringe researchers tasked specifically with conducting "" adversarial scientific peer review "" of climate science ― part of the administration 's relentless effort to discredit and downplay the ongoing crisis . The White House ultimately scrapped the plan , as E&E News reported in July . News of Happer 's departure comes one day after the resignation of his boss , national security adviser John Bolton . It was Bolton who recruited Happer to the National Security Council and backed his effort to create an anti - science panel , according to The New York Times . The CO2 Coalition , a right - wing think tank that Happer co - founded and that argues Earth benefits from humans pumping carbon dioxide into the atmosphere , confirmed his upcoming resignation in a Tuesday post to its website and praised him for his efforts . "" While your proposed review of alarmist analyses and projections has been delayed , we believe your work in calling attention to the problem of unscientific climate alarmism has reduced the chances of the dramatic increases in energy prices that would arise from the banning of fossil fuels that some have proposed , "" Patrick Moore and Caleb Rossiter , two representatives of the CO2 Coalition , wrote in a joint statement . The CO2 Coalition is one of several think tanks that peddle misinformation about climate change and receive funding from the Mercer family , the billionaire megadonors who gave more than $ 15 million to Trump 's 2016 campaign ."	thehuffingtonpost	left_bias	False	False	False	False	False
6	270	YOURE_DESTROYING_OUR_FUTURE	ENV.ORGS_ACTIVISTS	GOVERNMENTS_POLITICIANS_POLIT.ORGS	ANIMALS_NATURE_ENVIRONMENT	HERO	FUEL_RESOLUTION	EGALITARIAN	"Joe Biden Promises Environmentalist : ' Look into My Eyes ; I Guarantee You , We Are Going to End Fossil Fuel ' Biden took questions from a group in New Castle , New Hampshire , Friday . One woman associated with the environmental group 350 New Hampshire Action , Rebecca Beaulieu , asked Biden how voters can trust him if he continues to associate himself with fossil fuel executives . "" How can we trust that you 're going to act on climate — on the climate crisis — if you 're still attending fundraisers that fossil fuel executives are attending ? "" Beaulieu asked , according to the Daily Mail . Video shows Biden walking over to the woman , taking her hand , and making a solemn promise to "" end fossil fuel ... before 2050 , God willing . "" Kiddo , I want you to just take a look . I want you to look into my eyes , "" Biden began . "" guarantee you , I guarantee you , we are going to end fossil fuel , and I am not going to cooperate with them . Before 2050 , God willing , "" Biden continued , adding that 2030 is not a realistic goal : No it ca n't be done by 2030 . No , not one single person is arguing it can be done by that . But it can be done by 2050 . Maybe 2045 ? And is the science increases , we may be able to move more quickly . But we have to we can fundamentally change things in the next 10 years , though , so that we set a path ? I promise you , I promise you . OK . Beaulieu , 24 , said she "" was n't expecting "" that kind of response from Biden and described it as "" patronizing . "" Just a little patronizing , because I want to be an adult at the table when it comes to conversations about climate , and what we 're going to do about it , and I do n't want to be like someone who 's sitting on the sidelines waiting for other people to act , "" she said , according to the Daily Mail . "" ' m also like actively doing something to try to combat this climate crisis as it stands . Being called a kid is a little patronizing when I 'm trying to do so much work , "" she added . She also said she was unsatisfied with Biden 's refusal to bend his 2050 goal . "" But I hope that he takes the climate crisis as seriously as he tried to make it seem and that if he 's going to keep moving forward with his plans , he needs to reevaluate because 2050 is too late , "" she said . Biden recently came under fire for attending a fundraiser hosted by Andrew Goldman , a founder of the natural gas company Western LNG . The former vice president dismissed concerns , telling viewers of CNN 's climate change town hall Wednesday that Goldman is "" not a fossil fuel executive . "" He is not a fossil fuel executive , "" Biden said . "" And the fact of the matter is that — what we talk about is , what are we going to do about those corporations ? What have we done ? "" "" And everywhere along the way — for example , I 've argued and pushed for us suing those executives who are engaged in pollution , those companies engaged in pollution , "" he added . "" I 've never walked away from that . """	breitbart	questionable_source	True	False	False	False	False
7	278	OFFICIALS_DECLARE_EMERGENCY	GOVERNMENTS_POLITICIANS_POLIT.ORGS	INDUSTRY_EMISSIONS	ANIMALS_NATURE_ENVIRONMENT	HERO	FUEL_RESOLUTION	HIERARCHICAL	"Elizabeth Warren Promises Day One Executive Order on Fossil Fuel Leases , Pledges to Ban Fracking Warren promised in a tweet Friday to "" sign an executive order that puts a total moratorium on all new fossil fuel leases for drilling offshore and on public lands "" and vowed to "" ban fracking — everywhere"":Warren 's pledge to ban fracking follows Sen. Bernie Sanders ' ( I - VT ) call , urging fellow Democrat candidates to support a "" fracking ban on public and private lands . "" Fracking is a danger to our water supply . It 's a danger to the air we breathe . It causes earthquakes . It 's highly explosive . Safe fracking is , like clean coal , pure fiction , "" Sanders said in a statement Wednesday . "" But , most importantly , methane from natural gas contributes to climate change and is setting us on a path to disaster , "" he added . "" When we are in the White House , we will end the era of fossil fuels , and that includes fracking"":Ten Democrat candidates participated in CNN 's seven - hour climate change town hall Wednesday , and many signaled support for the implementation of a carbon tax as well as plastic straw bans , actions on meat consumption , and the end of fracking . "" There 's no question I 'm in favor of banning fracking , "" Sen. Kamala Harris ( D - CA ) said during the town hall . "" Starting with what we can do on day one around public lands and then there has to be legislation , but yes . This is something I 've taken on in California , I have a history of working on this issue , "" she added . Sen. Cory Booker ( D - NJ ) said he would ban fracking "" right away on public lands . "" Warren released her comprehensive climate change proposal — inspired by Gov. Jay Inslee ( D ) — ahead of CNN 's town hall . It called for the decarbonization of the economy and 100 percent clean energy over the next decade . While Warren did not go as far as Sanders in calling for the complete public ownership of utilities , she said she will tell companies that use carbon - based fuel that they are "" done "" by 2035 . "" ' m perfectly willing to take on giant corporations . I think I 've been known to do that once or twice . But for me , I think the way we get there is we just say , ' sorry guys , but by 2035 , you 're done , ' "" she said during CNN 's town hall ."	breitbart	questionable_source	False	True	False	False	False
8	316	CARBON_EXPANSION	GOVERNMENTS_POLITICIANS_POLIT.ORGS	LEGISLATION_POLICIES_RESPONSES	GENERAL_PUBLIC	VICTIM	PREVENT_RESOLUTION	INDIVIDUALISTIC	"This Obama - Era UN - EPA Agreement Has To Go As the Trump White House continues its cleanup of the mess — foreign and domestic — left behind by the Obama administration , it should toss out a little - noticed document that entangles the U.S. in some of the worst schemes ever cooked up by U.N. bureaucrats and their cronies in the global environmental movement . On September 16 , 2016 , the Obama EPA entered into a memorandum of understanding ( MOU ) with the United Nations Environmental Programme ( UNEP ) . Concluded just a few weeks before the 2016 presidential election , the MOU bears the signature for the U.S. of then - EPA Administrator Gina McCarthy . In the document , UNEP and the Obama EPA vow to "" consolidate , further develop and intensify their cooperation and effectiveness to achieve their common goals and objectives in the field of the environment . "" And therein lies the problem . For the "" common goals and objectives "" shared by the U.N. body and the Obama administration are specifically crafted to hamstring American fossil - fuel energy development , promote an assortment of politically fashionable , but otherwise uncompetitive , green technologies and products , and perpetuate the deplorable living conditions in the world 's poorest countries . An Instrument of the Paris Climate Accord . The document was signed nine months after the adoption of the U.N.-sponsored Paris climate accord , and the wording of the MOU leaves little doubt that it was seen as an instrument to underscore America 's commitment to curtail its production and use of energy in the name of combatting climate change . Thus , UNEP and the Obama EPA agreed to "" cooperate on responses to climate change , "" including mitigating greenhouse gas emissions , reducing short - lived climate forcers and supporting adaptation and resilience to climate change . Taking these and similar steps , the MOU says , will enable the advance "" toward green economies and resource - efficient societies through collaborative activities to promote and support sustainable consumption and production . "" In truth , "" green economies "" are those with taxpayer - subsidized and government - mandated renewable energy ( primarily wind and solar ) . And what constitutes "" sustainable consumption and production "" is in the eyes of the beholding bureaucrat , empowered either by the administrative regulatory state or by legislation adopted at the behest of deep - pocketed special interests . All of this is to be pursued through jointly held symposia , seminars , workshops , study tours , collaborative research and development projects , exchanges and training programs and other forms of cooperation that strengthen the bonds between UNEP and the U.S. Under the MOU , each side is to name a "" Senior Coordinator "" to oversee the holding of "" regular joint meetings on matters of common interest . "" To make sure the two sides stay in touch , "" such meetings are to take place at least once every six months in accordance with an agenda approved by them in advance of every meeting . "" The outfit the Obama administration teamed up within the MOU , UNEP , was founded in 1972 by wealthy Canadian businessman Maurice Strong ; it is headquartered in Nairobi , Kenya and has an office conveniently located in Washington , D.C. Strong ( 1929–2015 ) was Under - Secretary - General of the U.N. when he founded UNEP and was an early advocate for combatting what he said was human - induced climate change , then known as global warming . In keeping with Strong 's vision , UNEP has worked closely with the Bonn - based United Nations Framework Convention on Climate Change ( UNFCCC ) . For its part , UNFCCC has enthusiastically spread climate alarmism and gone to extraordinary lengths to deny the residents of the world 's poorest access to reliable and affordable electricity and transportation fuel , thereby perpetuating their poverty . Given UNEP 's pedigree and the Obama administration 's unbridled hostility to fossil fuels , President Trump should scrap the UNEP - EPA MOU . Trump and EPA Administrator Scott Pruitt inherited the MOU from their predecessors and are under no obligation to adhere to its content . The White House has already withdrawn from the Paris climate accord , and President Trump chose to skip the climate - change session at the recent G7 meeting in Quebec . Continued fealty to the Obama - era MOU runs counter to the president 's goal of American global energy dominance , which is anchored to our abundance of oil , natural gas , and coal . The ties that bound the UN and the Obama administration should not be allowed to constrain the choices of everyday Americans . Even if the MOU is "" non - binding , "" so , too , are the commitments all parties agreed to under the Paris climate accord . But recognizing the threat the Paris accord posed to U.S. energy security , the Trump White House wisely walked away from it . The UNEP - EPA memorandum is little more than an implementation tool of the Paris agreement and should suffer the same fate . Both are part of what is , at its core , a decidedly anti - American agenda . Bonner R. Cohen , Ph . D , is a senior policy analyst with the Committee for a Constructive Tomorrow ( CFACT ) . The views and opinions expressed in this commentary are those of the author and do not reflect the official position of The Daily Caller ."	thedailycaller	right_bias	True	True	True	True	False
9	39	DEBATE_AND_SCAM	NONE	GOVERNMENTS_POLITICIANS_POLIT.ORGS	NONE	VILLAIN	PREVENT_RESOLUTION	INDIVIDUALISTIC	"Beto Compares Green New Deal to Defeating Nazis , Overcoming Great Depression At a town hall event in Ames , Iowa Wednesday , Democrat candidate for president Beto O'Rourke , compared the Green New Deal to defeating the Nazis and surviving the Great Depression . Why is it that Democrats , clearly lacking in any context of what World War II and living in the greatest generation were like , enjoy comparing these things to mundane policy initiatives ? Addressing the Green New Deal , O'Rourke summoned his followers to harness the "" the most ingenious mechanism yet devised by humankind "" to "" free ourselves from a dependence on fossil fuels . "" The mechanism Robert Francis is referring to is a democracy . Meanwhile , what comes out of Beto 's mouth next is not , in fact , ingenious . "" It 's exactly what we did to face the Nazi threat , the existential threat to Western democracies in 1941 , "" he said . "" Exactly what we did to lift millions out of the Great Depression and build the largest middle class the world had yet seen . "" And is exactly what we need to do now to free ourselves from a dependence on fossil fuels , greenhouse gas emissions , invest in the jobs and technologies of renewable energy that will allow us to meet our obligation and allow this country once again to claim its status as the indispensable nation . "" It 's hard not to look at this hyperactive Gen X - er and think this is exactly what the far left has become – a group that has rarely experienced hardship in their lifetime because of the greatest generation , comparing everything they find upsetting to the greatest generation . Beto likes his World War II comparisons so much that he mentions it time and again when discussing the threat of global warming . Sure , every time he mentions it O'Rourke is mocked relentlessly by those outside of his little campaign crowds . But he does n't care , because , in his mind , it 's real . How else to explain last months comments that environmental activists are just like "" those who were on the beaches in Normandy . "" When you think about leadership , those who preceded us — those who were on the beaches in Normandy , those who faced an existential threat to Western democracy and our way of life , they showed us the way , "" he said referencing a plan to fight climate change . "" his is the final chance , "" he added , echoing Rep. Alexandria Ocasio - Cortez ' warning that the world will end due to climate change . "" The scientists are unanimous on this . We have no more than 12 years to take incredibly bold action on this crisis . "" Every time I watch this guy speak , I think of the UPS Guy from Mad TV . How does a man who , under normal circumstances would be working as a barista in the local coffee shop , dole out knowledge of experience on World War II to a Democrat party who eagerly laps it up ? How did the resistance get to this point ? It 's embarrassing ."	thepoliticalinsider	right_bias	False	False	True	False	True
